    0.1000;    0.8810;    1.0120;    0.9111;
    0.2000;    0.8692;    1.0112;    0.9123;
    0.3000;    0.8580;    1.0111;    0.9219;
    0.4000;    0.8423;    1.0100;    0.9211;
    0.5000;    0.8323;    1.0100;    0.9220;
    0.6000;    0.8291;    1.0100;    0.9190;
    0.7000;    0.8259;    1.0100;    0.9188;
    0.8000;    0.8066;    1.0100;    0.9186;
    0.9000;    0.7885;    1.0011;    0.9116;
    1.0000;    0.7712;    0.9929;    0.9066;
    1.1000;    0.7547;    0.9864;    0.9034;
    1.2000;    0.7389;    0.9812;    0.9016;
    1.3000;    0.7236;    0.9772;    0.9008;
    1.4000;    0.7086;    0.9742;    0.9009;
    1.5000;    0.6941;    0.9720;    0.9015;
    1.6000;    0.6797;    0.9704;    0.9024;
    1.7000;    0.6656;    0.9694;    0.9035;
    1.8000;    0.6517;    0.9687;    0.9047;
    1.9000;    0.6380;    0.9683;    0.9057;
    2.0000;    0.6244;    0.9680;    0.9065;
    2.1000;    0.6109;    0.9678;    0.9069;
    2.2000;    0.5975;    0.9676;    0.9070;
    2.3000;    0.5844;    0.9674;    0.9066;
    2.4000;    0.5714;    0.9670;    0.9057;
    2.5000;    0.5586;    0.9665;    0.9044;
    2.6000;    0.5460;    0.9657;    0.9024;
    2.7000;    0.5337;    0.9648;    0.9000;
    2.8000;    0.5217;    0.9636;    0.8970;
    2.9000;    0.5101;    0.9621;    0.8936;
    3.0000;    0.4988;    0.9603;    0.8896;
    3.1000;    0.4880;    0.9582;    0.8852;
    3.2000;    0.4777;    0.9559;    0.8803;
    3.3000;    0.4680;    0.9533;    0.8751;
    3.4000;    0.4588;    0.9504;    0.8696;
    3.5000;    0.4503;    0.9472;    0.8637;
    3.6000;    0.4424;    0.9438;    0.8576;
    3.7000;    0.4353;    0.9402;    0.8514;
    3.8000;    0.4290;    0.9364;    0.8450;
    3.9000;    0.4235;    0.9323;    0.8385;
    4.0000;    0.4189;    0.9281;    0.8320;
    4.1000;    0.4151;    0.9238;    0.8255;
    4.2000;    0.4123;    0.9193;    0.8192;
    4.3000;    0.4105;    0.9147;    0.8129;
    4.4000;    0.4097;    0.9101;    0.8068;
    4.5000;    0.4100;    0.9054;    0.8010;
    4.6000;    0.4113;    0.9007;    0.7955;
